finding,original_dissertation_conclusion,legacy_reproduction_result,refactored_legacy_result,refactored_clean_statistical_result,current_sbti_overlay_robustness_result,phase4b_result,final_assessment,confidence_level,recommended_wording_change,empirical_rerun_needed
Two-stage narrative,Commitment produces signaling benefits while validation reveals implementation costs,Main model and commitment-date outputs substantively reproduce this pattern,Refactored legacy preserves main benchmark and commitment-validation distinction,Clean event-study is diagnostic and does not overturn the pre/post narrative,Overlay does not redefine historical commitment or validation dates,Not applicable,Mostly robust with caveat,Medium-high,Frame as evidence consistent with signaling followed by implementation costs rather than definitive causal proof,No
Post-validation operational dip,Validation is associated with weaker operational performance,Main operating margin and log EBITDA signs reproduce,Refactored legacy reproduces Model 1 signs and Ns,Clean event-study improves timing interpretation; some t0 effects are weaker but operational dip remains in main models,Sector/status robustness mostly preserves operational caveat,Not applicable,Mostly robust with caveat,Medium,Keep operational-cost framing but distinguish average post-period model from clean event-time dynamics,No
Ambition Shield,Higher S1+S2 ambition mitigates post-validation costs,Legacy op margin interaction reproduces positive effect,Refactored legacy preserves ambition interaction behavior,Clean mode does not replace the main ambition interaction,Ambition interaction positive in most Phase 4 scenario-DV models,Not applicable,Mostly robust with caveat,Medium,Interpret as preparedness/transition-capacity correlation as well as ambition moderation,No
Public-Private Chasm,Costs are concentrated in public firms,Legacy public/private splits and interactions reproduce,Refactored legacy preserves split and interaction structure,Phase 2B did not alter public/private logic,Phase 4 initially flagged need for targeted check,Phase 4B public split has more significant post-validation effects than private split,Mostly robust with caveat,Medium,Retain but state that it is corroborated by split and pooled checks and sensitive to sample composition,No
Leverage Trap,Moderate-to-high leverage worsens post-validation outcomes nonlinearly,Legacy nonlinear leverage models retained,Refactored legacy preserves uncentered leverage trap,Clean centered leverage improves interpretability and shows robustness signals,Phase 4 initially flagged need for targeted check,Phase 4B nonlinear leverage terms remain active in uncentered and centered models,Mostly robust with caveat,Medium,Retain as nonlinear robustness pattern; use centered models for interpretation around average leverage,No
Market Indifference,Headline/valuation metrics show limited average response,Legacy Tobin's Q and headline null patterns reproduce,Refactored legacy preserves market-indifference benchmark,Clean diagnostics do not overturn market-indifference framing,Phase 4 matrix reports no strong market-indifference reversal,Not applicable,Mostly robust with caveat,Medium-high,Keep but avoid claiming no firm or sector ever experiences valuation effects,No
Scope 3 Puzzle,Firms with absolute Scope 3 targets appear less financially harmed than firms without,Legacy strict Scope 3 variable preserved,Refactored legacy keeps standalone scope 3 absolute definition,Clean stats do not replace Scope 3 logic,Overlay shows legacy Scope 3 is narrower than current taxonomy; 784 current any-Scope-3 firms not captured by legacy absolute Scope 3,Not applicable,Mostly robust with caveat,Medium-low,Describe as a historical narrow-construct result and avoid saying Scope 3 decarbonization is easier,No
Temporal implementation dip,Dynamic effects show implementation dip after validation,Legacy event-study discrepancy explained by no-size fallback for two DVs,Refactored legacy encodes compatibility fallback,Clean event-study uses mutually exclusive bins; log_emp has material pretrend concern,Phase 4 clean event-study robustness completed for selected scenarios,Not applicable,Sensitive to specification,Medium,Use clean event-study as timing robustness; soften strongest dynamic timing claims,No
Sustained scale shock,Log revenue shows a sustained scale shock after validation,Legacy log revenue event-study used no-size fallback,Refactored legacy preserves fallback,Clean full-spec log revenue t0 effect is much smaller and not significant,Overlay robustness still treats current metadata only as sample flags,Not applicable,Sensitive to specification,Medium-low,Retain only as legacy event-study pattern; frame clean full-spec as weakening scale-shock evidence,No
Employment dynamics,Employment effects evolve after validation,Legacy event-study indicated delayed employment dynamics,Refactored legacy preserves legacy event-study behavior,Clean pretrend test flags log_emp as material concern,Phase 4 also shows log_emp pretrend concerns in selected event-study scenarios,Not applicable,Weakened / sensitive,Low,Move employment dynamics to exploratory/cautious interpretation,No
